CN,HABTYPCD,PUB_CD,SCIENTIFIC_NAME,COMMON_NAME,VALID,CREATED_BY,CREATED_DATE,CREATED_IN_INSTANCE,MODIFIED_BY,MODIFIED_DATE,MODIFIED_IN_INSTANCE
1.97237E+14,CWS555,647,ABGR/COCO6/VAHE,Grand fir/California hazel/inside-out flower,Y,RWANEK,5/6/2013 9:20,20004,,,
1.97237E+14,CWS622,647,ABGR/TODI,Grand fir/poison oak,Y,RWANEK,5/6/2013 9:20,20004,,,
2.52083E+13,CPG121,638,PIPO/AGSP,Ponderosa Pine/Bluebunch Wheatgrass,Y,FS_NIMS_NRS,7/17/2014 9:45,440,,,
2.52083E+13,CPG122,638,PIPO/FEID,Ponderosa Pine/Idaho Fescue,Y,FS_NIMS_NRS,7/17/2014 9:45,440,,,
2.52083E+13,CPS227,638,PIPO/PUTR,Ponderosa Pine/Bitterbrush,Y,FS_NIMS_NRS,7/17/2014 9:45,440,,,
2.52083E+13,CPS521,638,PIPO/SYAL,Ponderosa Pine/Snowberry,Y,FS_NIMS_NRS,7/17/2014 9:45,440,,,
2.52083E+13,CDS627,638,PSME/SYAL,Douglas-fir/Snowberry,Y,FS_NIMS_NRS,7/17/2014 9:45,440,,,
2.52083E+13,CDS715,638,PSME/PHMA,Douglas-fir/Ninebark,Y,FS_NIMS_NRS,7/17/2014 9:45,440,,,
2.52083E+13,CDG131,638,PSME/CARU,Douglas-fir/Pinegrass,Y,FS_NIMS_NRS,7/17/2014 9:45,440,,,
2.52083E+13,CWF313,638,ABGR/LIBO,Grand fir/Twinflower,Y,FS_NIMS_NRS,7/17/2014 9:45,440,,,
2.52083E+13,CCF221,638,THPL/CLUN,Western redcedar/Queencup beadlily,Y,FS_NIMS_NRS,7/17/2014 9:45,440,,,
2.52083E+13,CHF311,638,TSHE/CLUN,Western hemlock/Queencup beadlily,Y,FS_NIMS_NRS,7/17/2014 9:45,440,,,
3.50739E+12,103,112,POAN3,narrowleaf cotonwood/recent alluvial barr,Y,FS_NIMS,2/7/2012 19:07,440,,,
3.50739E+12,104,112,POAN3,narrowleaf cotonwood/herbaceous,Y,FS_NIMS,2/7/2012 19:07,440,,,
3.5074E+12,105,112,POAN3/SYOC,narrowleaf cottonleaf/western snowberry,Y,FS_NIMS,2/7/2012 19:07,440,,,
3.5074E+12,106,112,POAN3/COSES,narrowleaf cottonwood/redosier dogwood,Y,FS_NIMS,2/7/2012 19:07,440,,,
3.5074E+12,111,112,ACNE2/PRVI,boxelder/chokecherry,Y,FS_NIMS,2/7/2012 19:07,440,,,
3.5074E+12,113,112,PODEM/COSES,plains cottonwood/redosier deogwood,Y,FS_NIMS,2/7/2012 19:07,440,,,
3.5074E+12,114,112,PODEM,plains cottonwood/herbaceous,Y,FS_NIMS,2/7/2012 19:07,440,,,
3.5074E+12,115,112,PODEM,plains cottonwood/recent alluvial bar,Y,FS_NIMS,2/7/2012 19:07,440,,,
3.5074E+12,116,112,PODEM/SYOC,plains cottonwood/western snowberry,Y,FS_NIMS,2/7/2012 19:07,440,,,
